Date,Open,High,Low,Close,Adj Close,Volume,RSI,50_day_MA,200_day_MA,Government Securities - 5-Year Bond Yield (Per Cent Per Annum),Government Securities - 2-Year Bond Yield (Per Cent Per Annum),Government Securities - 10-Year Bond Yield (Per Cent Per Annum),Government Securities - 1-Year Treasury Bills Yield (Per Cent Per Annum),Government Securities - 15-Year Bond Yield (Per Cent Per Annum),Government Securities - 20-Year Bond Yield (Per Cent Per Annum),Singapore Overnight Rate Average (Per Cent Per Annum),Dividends,ROA,ROE,Cost/Income Ratio
2020-06-01,17.80908966064453,21.43636322021484,17.76363563537598,18.90909004211425,15.56437873840332,190120002,32.53632695409534,18.42090850830078,21.1312266254425,0.5,0.3,0.9,0.3,1.2,1.3,0.2,0.6,0.78,9.2,38.6
2020-07-01,19.09090805053711,20.21818161010743,17.75454521179199,17.97272682189941,14.79364776611328,108394324,37.71738690441915,19.16690853118897,20.77890843391418,0.5,0.2,0.9,0.3,1.1,1.1,0.1,0.6,0.77,9.8,39.8
2020-08-01,17.95454406738281,19.5,17.68181800842285,18.97272682189941,15.61676120758057,106381638,35.72629494054526,19.04272659301758,20.32536296844482,0.5,0.3,1.0,0.3,1.3,1.4,0.2,0.163636,0.77,9.8,39.8
2020-09-01,18.81818008422852,19.08181762695312,17.83636283874512,18.10000038146973,15.0246639251709,99264715,32.27916603318016,18.64072673797608,19.79231757164002,0.5,0.3,0.9,0.3,1.2,1.3,0.1,0.163636,0.77,9.8,39.8
2020-10-01,18.20000076293945,19.68181800842285,18.20000076293945,18.5,15.35670185089111,99174020,37.63313215723071,18.81254501342773,19.30549941062928,0.5,0.3,0.8,0.3,1.1,1.2,0.3,0.163636,0.81,10.0,43.0
2020-11-01,18.45454406738281,23.61818122863769,18.40909004211425,22.90909004211425,19.01664733886719,170141239,50.46992458037078,20.11345401763916,19.13640851020813,0.5,0.3,0.9,0.3,1.1,1.2,0.2,0.163636,0.81,10.0,43.0
2020-12-01,22.81818008422852,23.45454406738281,22.46363639831543,22.93636322021484,19.1807918548584,92633491,48.10438439715301,21.93799945831299,19.31881760597229,0.5,0.3,0.8,0.4,1.1,1.2,0.9,0.163636,0.81,10.0,43.0
2021-01-01,22.93636322021484,24.97272682189941,22.7090892791748,22.89090919494629,19.14277839660645,113245345,49.82152373569015,23.2943631362915,20.0161358165741,0.5,0.3,1.0,0.4,1.3,1.4,0.2,0.163636,0.63,7.7,48.4
2021-02-01,22.63636207580566,24.51818084716797,22.55454444885254,24.21818161010743,20.25272178649902,102177144,51.85910398245986,23.48709033966064,20.5798630809784,0.7,0.4,1.3,0.4,1.7,1.7,0.3,0.163636,0.63,7.7,48.4
2021-03-01,24.29999923706055,26.45454406738281,24.27272605895996,26.17272758483887,21.88723373413086,159009854,57.74456719271121,24.47272663116455,21.36736306190491,0.9,0.5,1.7,0.4,2.1,2.1,0.2,0.163636,0.63,7.7,48.4
2021-04-01,26.3636360168457,27.3818187713623,25.70000076293945,27.19090843200684,22.73869705200196,83517830,63.2178743019853,25.71363571166992,22.10136305809021,0.8,0.4,1.6,0.4,1.9,2.0,0.3,0.163636,1.25,15.4,41.2
2021-05-01,27.27272605895996,27.81818008422852,25.93636322021484,27.29999923706055,22.97104454040528,112692929,84.68524097934822,26.51672672271728,22.87940854072571,0.9,0.4,1.5,0.3,1.8,1.8,0.2,0.163636,1.25,15.4,41.2
2021-06-01,27.42727279663086,27.61818122863769,26.52727127075196,27.10000038146973,22.94105339050293,91325254,82.08470876330968,26.9230904006958,23.78509036064148,0.9,0.4,1.6,0.3,1.9,1.9,0.1,0.163636,1.25,15.4,41.2
2021-07-01,27.30908966064453,28.07272720336914,26.79090881347656,27.64545440673828,23.40280151367188,92839935,85.38164374199478,27.19236324310303,24.70272673606873,0.8,0.4,1.3,0.4,1.6,1.7,0.3,0.163636,1.03,12.7,43.0
2021-08-01,27.8636360168457,28.85454559326172,27.13636207580566,27.24545478820801,23.06418800354004,83145991,81.4687886550804,27.42072685241699,25.53377220153808,0.8,0.4,1.4,0.4,1.7,1.8,0.2,0.3,1.03,12.7,43.0
2021-09-01,27.19090843200684,27.72727203369141,26.52727127075196,27.56363677978516,23.5826473236084,87044439,87.97697998210057,27.51636322021484,26.02863586425781,0.9,0.6,1.6,0.4,1.9,2.0,0.1,0.3,1.03,12.7,43.0
