Date,Open,High,Low,Close,Adj Close,Volume,RSI,50_day_MA,200_day_MA,Dividends,Government Securities - 5-Year Bond Yield (Per Cent Per Annum),Government Securities - 2-Year Bond Yield (Per Cent Per Annum),Government Securities - 10-Year Bond Yield (Per Cent Per Annum),Government Securities - 1-Year Treasury Bills Yield (Per Cent Per Annum),Government Securities - 15-Year Bond Yield (Per Cent Per Annum),Government Securities - 20-Year Bond Yield (Per Cent Per Annum),Singapore Overnight Rate Average (Per Cent Per Annum)
2021-03-01,24.68000030517578,26.030000686645508,24.68000030517578,25.82999992370605,21.326276779174805,77000601,50.49736715549782,24.573800086975098,21.771100053787237,0.39,0.9,0.5,1.7,0.4,2.1,2.1,0.2
2021-04-01,26.0,26.790000915527344,25.739999771118164,26.59000015258789,21.953765869140625,50532200,56.32873677899468,25.61480010986328,22.346750049591066,0.39,0.8,0.4,1.6,0.4,1.9,2.0,0.3
2021-05-01,26.61000061035156,26.84000015258789,24.729999542236328,26.06999969482422,21.52443122863769,68036531,77.2203906864918,25.99720012664795,22.915900077819824,0.39,0.9,0.4,1.5,0.3,1.8,1.8,0.2
2021-06-01,26.26000022888184,26.5,25.309999465942383,25.81999969482422,21.63890266418457,41186100,73.7847192902809,26.03100009918213,23.60860007286072,0.39,0.9,0.4,1.6,0.3,1.9,1.9,0.1
2021-07-01,25.940000534057617,26.440000534057617,25.40999984741211,26.280000686645508,22.024415969848636,45109900,80.43087925166195,25.94060009002685,24.305350074768068,0.39,0.8,0.4,1.3,0.4,1.6,1.7,0.3
2021-08-01,26.280000686645508,27.01000022888184,25.399999618530277,25.57999992370605,21.437768936157227,58830159,74.07740400124226,26.009000091552736,24.95720006942749,0.6,0.8,0.4,1.4,0.4,1.7,1.8,0.2
2021-09-01,25.399999618530277,25.899999618530277,25.280000686645508,25.850000381469727,22.158283233642575,47523560,80.64515778781639,25.914799995422364,25.279350061416626,0.6,0.9,0.6,1.6,0.4,1.9,2.0,0.1
2021-10-01,25.700000762939453,27.0,25.46999931335449,26.75,22.929750442504883,44767200,81.89884217023396,26.02279987335205,25.64680004119873,0.6,1.5,0.9,1.8,0.4,2.1,2.2,0.2
2021-11-01,26.989999771118164,28.170000076293945,25.46999931335449,25.46999931335449,21.83255195617676,60809558,76.7886702896757,26.73799987792969,26.038150024414065,0.6,1.3,0.8,1.7,0.5,1.9,2.0,0.1
2021-12-01,25.770000457763672,27.18000030517578,25.649999618530277,26.899999618530277,23.058330535888672,40025271,79.49290711143578,27.022399826049806,26.25189998626709,0.6,1.4,0.9,1.7,0.5,1.9,2.1,0.3
2022-01-01,27.0,30.38999938964844,26.88999938964844,29.959999084472656,25.681320190429688,80140309,78.76446841468137,27.83539993286133,26.61234998703003,0.6,1.6,1.0,1.8,0.7,2.0,2.1,0.4
2022-02-01,29.959999084472656,33.33000183105469,29.61000061035156,29.90999984741211,25.63846206665039,92545900,78.05642103727462,29.75059997558594,27.12924997329712,0.6,1.7,1.2,1.9,0.7,2.1,2.1,0.3
2022-03-01,30.209999084472656,32.619998931884766,28.200000762939453,32.02000045776367,27.447126388549805,79847900,80.33707556648173,31.18520015716553,27.704900007247925,0.6,2.3,1.9,2.3,1.0,2.5,2.6,0.6
2022-04-01,32.0,32.119998931884766,29.200000762939453,29.989999771118164,25.7070369720459,53930225,67.73546545221545,31.08760013580322,28.22739998817444,0.6,2.4,2.0,2.5,1.7,2.7,2.8,0.7
2022-05-01,29.989999771118164,30.5,28.07999992370605,29.51000022888184,25.802173614501957,70024067,62.86713118821125,30.551199951171878,28.499049968719483,0.6,2.5,2.1,2.7,1.8,2.9,2.9,0.7
2022-06-01,29.61000061035156,29.6200008392334,26.25,26.25,22.951784133911133,60286645,48.988094967779446,28.624999923706056,28.674099979400637,0.6,2.8,2.7,3.0,2.3,3.1,3.1,1.7
2022-07-01,26.26000022888184,28.530000686645508,25.959999084472656,27.549999237060547,24.088441848754883,51850382,54.209327042338366,27.485400009155278,28.78399998664856,0.6,2.6,2.6,2.7,2.9,2.7,2.8,2.1
2022-08-01,27.790000915527344,28.18000030517578,26.700000762939453,27.32999992370605,23.89608383178711,51121100,54.30199467355269,27.03740001678467,28.813849992752075,0.6,2.9,2.8,3.0,2.9,3.0,3.0,2.3
2022-09-01,27.190000534057617,27.75,26.049999237060547,26.15999984741211,23.377456665039062,50728100,49.67141063053331,27.274799880981444,28.824399995803837,0.6,3.5,3.4,3.5,3.2,3.4,3.4,4.4
2022-10-01,26.15999984741211,28.299999237060547,25.90999984741211,27.76000022888184,24.807275772094727,50318900,55.688936123530894,26.834399909973143,28.73449999809265,0.6,3.3,3.1,3.4,3.7,3.4,3.3,2.9
2022-11-01,27.959999084472656,31.25,27.700000762939453,31.200000762939453,27.88137435913086,75999700,61.97940080552809,27.851199951171875,28.60664999961853,0.6,2.9,3.1,3.1,3.8,3.1,2.9,3.9
2022-12-01,31.290000915527344,31.399999618530277,30.200000762939453,30.700000762939453,27.43455696105957,66714013,59.00592956673877,29.717799911499025,28.623349952697755,0.6,2.8,3.1,3.1,4.2,3.1,2.6,2.5
2023-01-01,30.700000762939453,31.32999992370605,29.15999984741211,29.82999992370605,26.657094955444336,78885510,60.13011272678348,30.492199897766117,28.443799934387208,0.6,2.9,3.1,3.0,3.9,3.0,2.9,3.9
2023-02-01,29.979999542236328,31.0,29.399999618530277,29.920000076293945,26.737524032592773,61301538,57.482657116187205,30.34659992218017,28.456749935150143,0.6,3.4,3.7,3.3,3.9,3.3,3.1,3.5
2023-03-01,29.989999771118164,30.06999969482422,27.709999084472656,29.76000022888184,26.594539642333984,71095079,49.42129963066094,29.698200035095216,28.51749997138977,0.6,2.9,3.1,2.9,3.7,2.8,2.7,3.6
2023-04-01,29.75,30.270000457763672,28.18000030517578,28.21999931335449,25.21834373474121,51032137,45.49813446694388,29.54620010375977,28.81594995498657,0.75,2.8,3.1,2.8,3.6,2.6,2.5,3.8
2023-05-01,28.21999931335449,28.600000381469727,27.3799991607666,27.950000762939453,25.63759994506836,54733900,37.97991842451429,28.91599998474121,28.888199949264525,0.75,2.9,3.3,2.9,3.6,2.7,2.6,3.7
2023-06-01,28.18000030517578,28.38999938964844,27.559999465942383,28.0,25.683462142944336,54300000,43.34448186136828,28.208599853515626,28.967649936676025,0.75,3.1,3.6,3.1,3.6,2.8,2.6,4.0
2023-07-01,27.979999542236328,30.25,27.1299991607666,30.100000381469727,27.609724044799805,72266563,51.78032638338606,28.06459983825684,29.111849937438965,0.75,3.0,3.5,3.1,3.7,2.9,2.7,3.6
2023-08-01,30.200000762939453,30.25,27.63999938964844,28.440000534057617,26.087060928344727,48742637,57.31463137778488,28.335199928283693,29.258749952316283,0.85,3.1,3.5,3.1,3.7,3.1,3.1,3.8
2023-09-01,28.440000534057617,29.3799991607666,27.959999084472656,28.5,26.909122467041016,37602888,53.45958046108105,28.63240005493164,29.06259996414185,0.85,3.3,3.7,3.4,3.8,3.3,3.2,3.8
2023-10-01,28.5,28.850000381469727,26.81999969482422,27.020000457763672,25.511737823486328,57935200,48.96597908380335,28.21980003356933,28.75254997253418,0.85,3.3,3.6,3.4,3.8,3.3,3.3,3.7
2023-11-01,27.020000457763672,28.0,26.90999984741211,27.21999931335449,25.700572967529297,45694425,53.780312323609344,27.766799964904784,28.475599975585936,0.85,2.9,3.4,3.0,3.8,3.0,3.0,3.7
2023-12-01,27.32999992370605,28.63999938964844,26.96999931335449,28.450000762939453,26.861915588378903,46857852,52.5274745543616,27.494200019836427,28.264849977493284,0.85,2.7,3.3,2.7,3.8,2.8,2.8,3.6
2024-01-01,28.450000762939453,28.729999542236328,27.6200008392334,28.3700008392334,26.786380767822266,48007500,36.24878427365877,27.828600006103517,28.12744995117188,0.85,2.8,3.0,2.9,3.5,2.9,2.9,3.5
2024-02-01,28.299999237060547,29.68000030517578,27.86000061035156,27.950000762939453,26.38982582092285,57644000,36.532809762039086,28.26419998168945,28.09869996070862,0.85,3.0,3.3,3.1,3.5,3.1,3.1,3.8
2024-03-01,28.13999938964844,29.8799991607666,28.01000022888184,29.309999465942383,27.673908233642575,73013605,47.570090625824434,28.51340000152588,28.17319996833801,0.85,3.1,3.4,3.1,3.5,3.1,3.1,3.7
2024-04-01,29.3799991607666,31.350000381469727,29.040000915527344,30.399999618530277,28.70306396484375,76694692,52.05128063007079,29.207800025939942,28.398950004577635,0.85,3.4,3.5,3.5,3.6,3.5,3.4,3.5
2024-05-01,30.68000030517578,30.8799991607666,29.59000015258789,30.790000915527344,29.88682746887207,53553821,54.31685173919683,29.987799911499025,28.55334999084473,0.85,3.3,3.4,3.4,3.6,3.3,3.3,3.5
2024-06-01,30.809999465942383,31.32999992370605,30.399999618530277,31.32999992370605,30.410985946655277,40859406,64.22690580486824,30.531799964904785,28.79054997444153,0.85,3.2,3.3,3.2,3.6,3.2,3.1,3.4
2024-07-01,31.200000762939453,33.33000183105469,31.1299991607666,32.349998474121094,31.401063919067383,56927868,68.83561229992021,31.560599899291997,29.263449954986573,0.85,2.8,2.9,2.9,3.4,2.9,2.9,3.4
